epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,505.01,0.63994,0.45493,0.27112,0.44486,0.95118,0.97762,0.99573,0.99276,0.8636,0.97162,0.98991,0.98926,0.98635,0.5712,0.14741,0.0183,0.32193,0.8936,0.00092825,0.00092825,0.00092825
28,523.893,0.62767,0.4371,0.28193,0.42893,0.94897,0.97362,0.99515,0.99319,0.86896,0.96666,0.98504,0.98756,0.97567,0.57171,0.19169,0.02292,0.33424,0.88983,0.000915875,0.000915875,0.000915875
29,541.062,0.62149,0.40362,0.27181,0.43183,0.94376,0.96725,0.99051,0.98874,0.85898,0.96169,0.98492,0.98214,0.97834,0.59415,0.14222,0.0345,0.34489,0.89844,0.0009035,0.0009035,0.0009035
30,557.893,0.62568,0.42297,0.2798,0.42225,0.95438,0.98167,0.99273,0.99205,0.86702,0.97805,0.98908,0.98819,0.98684,0.54461,0.12508,0.01893,0.30896,0.88542,0.000891125,0.000891125,0.000891125
31,575.032,0.63525,0.43902,0.28324,0.42719,0.95667,0.97648,0.99556,0.99257,0.86797,0.97188,0.99088,0.98822,0.98582,0.56755,0.15407,0.02412,0.31695,0.8937,0.00087875,0.00087875,0.00087875
32,592.139,0.62936,0.45924,0.27589,0.42513,0.94986,0.98199,0.99615,0.99436,0.86542,0.98048,0.98517,0.98903,0.98535,0.57926,0.13912,0.01986,0.31858,0.88901,0.000866375,0.000866375,0.000866375
33,609.496,0.62852,0.42409,0.27527,0.41919,0.95209,0.98563,0.99589,0.99311,0.87226,0.97749,0.98764,0.98422,0.98259,0.54754,0.14266,0.02874,0.30565,0.8832,0.000854,0.000854,0.000854
34,626.866,0.61561,0.39426,0.2701,0.4094,0.94545,0.97814,0.99186,0.99221,0.87487,0.96866,0.98247,0.98184,0.97435,0.53985,0.15439,0.0162,0.31092,0.87714,0.000841625,0.000841625,0.000841625
35,644.385,0.60249,0.35416,0.26473,0.40446,0.94163,0.98831,0.9911,0.99475,0.88043,0.98362,0.98641,0.98943,0.9868,0.55005,0.12348,0.01363,0.29723,0.88402,0.00082925,0.00082925,0.00082925
36,661.638,0.62292,0.36801,0.27443,0.41034,0.94967,0.97875,0.99735,0.994,0.87999,0.97412,0.99266,0.98758,0.98632,0.53185,0.11634,0.01176,0.30428,0.87827,0.000816875,0.000816875,0.000816875
37,678.74,0.60498,0.3538,0.27179,0.39397,0.94402,0.97851,0.99431,0.993,0.87032,0.9738,0.98975,0.98759,0.98697,0.55048,0.11703,0.01738,0.30515,0.88892,0.0008045,0.0008045,0.0008045
38,695.794,0.61088,0.32561,0.26364,0.39482,0.94408,0.98143,0.99655,0.99336,0.87625,0.97122,0.97937,0.98272,0.98011,0.55599,0.1959,0.01339,0.31052,0.88613,0.000792125,0.000792125,0.000792125
39,713.068,0.60548,0.3399,0.26937,0.39059,0.9381,0.98412,0.99584,0.99253,0.87985,0.97942,0.99116,0.98744,0.9863,0.5269,0.11238,0.01805,0.28856,0.87528,0.00077975,0.00077975,0.00077975
40,732.795,0.60348,0.32814,0.26414,0.39642,0.93834,0.98733,0.99555,0.99379,0.88284,0.98371,0.9919,0.99056,0.99043,0.51986,0.1027,0.01422,0.28512,0.87601,0.000767375,0.000767375,0.000767375
41,751.364,0.59232,0.32694,0.27463,0.39423,0.94017,0.98197,0.99331,0.99372,0.8818,0.9787,0.98814,0.98886,0.98842,0.50349,0.10142,0.01409,0.29404,0.86805,0.000755,0.000755,0.000755
42,769.41,0.60326,0.30737,0.27183,0.37914,0.94002,0.98992,0.99571,0.99337,0.88677,0.9852,0.99108,0.98981,0.98948,0.51478,0.0982,0.01383,0.2782,0.86941,0.000742625,0.000742625,0.000742625
43,787.416,0.5695,0.31051,0.2598,0.36912,0.9275,0.98539,0.99489,0.99332,0.88212,0.98364,0.9883,0.98905,0.98796,0.54432,0.10586,0.01557,0.29615,0.88078,0.00073025,0.00073025,0.00073025
44,803.91,0.59608,0.34216,0.27333,0.38335,0.9396,0.98362,0.99688,0.99289,0.88779,0.97896,0.9922,0.98752,0.9846,0.513,0.10501,0.01633,0.28476,0.87161,0.000717875,0.000717875,0.000717875
45,819.707,0.57998,0.3123,0.25695,0.37309,0.92869,0.98247,0.99528,0.99449,0.88316,0.98115,0.98868,0.98928,0.98884,0.52341,0.10871,0.01603,0.28621,0.87798,0.0007055,0.0007055,0.0007055
46,835.833,0.59971,0.32643,0.26618,0.38677,0.94612,0.98773,0.99367,0.99463,0.88818,0.9845,0.99002,0.99191,0.99163,0.5086,0.09442,0.01325,0.27496,0.86796,0.000693125,0.000693125,0.000693125
47,852.074,0.58731,0.31113,0.26022,0.37037,0.93161,0.9923,0.99341,0.99491,0.88881,0.98864,0.98977,0.99137,0.99097,0.52623,0.09026,0.01314,0.27108,0.87124,0.00068075,0.00068075,0.00068075
48,868.001,0.5865,0.27949,0.2634,0.3751,0.93871,0.98905,0.9965,0.99465,0.89173,0.98437,0.99186,0.9898,0.9895,0.50691,0.09827,0.01055,0.26849,0.86566,0.000668375,0.000668375,0.000668375
49,884.904,0.58127,0.30345,0.25975,0.37344,0.93039,0.98009,0.99366,0.99361,0.87303,0.97261,0.98612,0.98336,0.9795,0.53224,0.11,0.00988,0.28308,0.87445,0.000656,0.000656,0.000656
50,900.879,0.58001,0.28136,0.26942,0.36846,0.93646,0.98875,0.99525,0.99464,0.87656,0.98696,0.98994,0.98981,0.98952,0.55294,0.08646,0.0111,0.27343,0.87601,0.000643625,0.000643625,0.000643625
51,916.74,0.57631,0.25672,0.26078,0.35923,0.92688,0.98857,0.99866,0.99472,0.88824,0.9842,0.99366,0.99211,0.99193,0.51211,0.0775,0.01163,0.25948,0.8694,0.00063125,0.00063125,0.00063125
52,933.008,0.56355,0.28177,0.25162,0.34459,0.924,0.98445,0.99725,0.99258,0.88596,0.97981,0.99256,0.98825,0.98784,0.51349,0.08778,0.00631,0.27198,0.86632,0.000618875,0.000618875,0.000618875
53,951.155,0.5709,0.2519,0.26541,0.36282,0.92603,0.99047,0.99388,0.99457,0.89199,0.98613,0.98897,0.99016,0.98976,0.49249,0.09024,0.0078,0.26263,0.86202,0.0006065,0.0006065,0.0006065
54,969.629,0.57859,0.2558,0.26294,0.35469,0.93621,0.99526,0.99599,0.99493,0.88899,0.99161,0.99234,0.98993,0.98934,0.51703,0.08904,0.01131,0.2654,0.87247,0.000594125,0.000594125,0.000594125
55,988.572,0.5723,0.26643,0.26225,0.35681,0.92848,0.9902,0.99481,0.99465,0.89273,0.98549,0.99016,0.98957,0.98897,0.5081,0.08187,0.00937,0.26195,0.86891,0.00058175,0.00058175,0.00058175
56,1006.45,0.56359,0.22898,0.25591,0.34553,0.92325,0.98666,0.99692,0.99329,0.88974,0.98237,0.99224,0.98834,0.98777,0.52205,0.08119,0.00895,0.26842,0.87052,0.000569375,0.000569375,0.000569375
57,1023.12,0.56112,0.24819,0.25669,0.34607,0.92376,0.98728,0.99667,0.9946,0.89055,0.98261,0.99199,0.98974,0.98919,0.50983,0.08164,0.01085,0.25953,0.86666,0.000557,0.000557,0.000557
58,1040.09,0.55918,0.25257,0.2623,0.34829,0.92361,0.98722,0.99362,0.99454,0.89143,0.98256,0.98894,0.98948,0.98919,0.50177,0.07561,0.00749,0.25875,0.86571,0.000544625,0.000544625,0.000544625
59,1057.08,0.55773,0.25739,0.25658,0.34659,0.92161,0.98734,0.99647,0.99468,0.89175,0.98267,0.99178,0.98978,0.98925,0.51832,0.07781,0.00949,0.26472,0.87033,0.00053225,0.00053225,0.00053225
60,1075.34,0.55227,0.24891,0.26269,0.34863,0.9213,0.98824,0.99896,0.9946,0.8879,0.98357,0.99427,0.9897,0.98943,0.50393,0.08089,0.0147,0.26614,0.86256,0.000519875,0.000519875,0.000519875
