epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,681.862,0.65899,0.34765,0.22251,0.44706,0.96555,0.98312,0.99765,0.99205,0.85696,0.97735,0.99178,0.9881,0.98384,0.59584,0.16071,0.00876,0.3217,0.90879,0.00092825,0.00092825,0.00092825
28,703.05,0.6485,0.34021,0.22492,0.43456,0.95807,0.97538,0.99612,0.99213,0.85911,0.97538,0.99612,0.99213,0.99207,0.58153,0.08541,0.00899,0.32524,0.89279,0.000915875,0.000915875,0.000915875
29,723.844,0.64822,0.35023,0.22182,0.43745,0.95956,0.97486,0.99785,0.99194,0.86251,0.97426,0.99672,0.99193,0.98996,0.59299,0.11398,0.00871,0.32523,0.90246,0.0009035,0.0009035,0.0009035
30,743.845,0.63149,0.33572,0.21058,0.42106,0.9514,0.98488,0.9933,0.99365,0.8686,0.98385,0.99226,0.9936,0.99358,0.5728,0.09184,0.01009,0.32148,0.89447,0.000891125,0.000891125,0.000891125
31,764.001,0.63194,0.31271,0.1998,0.41927,0.94919,0.98406,0.99746,0.99346,0.86744,0.98502,0.9963,0.99345,0.99345,0.58103,0.08634,0.00738,0.3117,0.90071,0.00087875,0.00087875,0.00087875
32,784.198,0.63151,0.27687,0.19245,0.42183,0.94944,0.98336,0.99436,0.99202,0.86795,0.98232,0.99332,0.99191,0.99171,0.58372,0.0757,0.00675,0.30891,0.89425,0.000866375,0.000866375,0.000866375
33,804.206,0.63709,0.32258,0.1838,0.41591,0.95588,0.98168,0.99481,0.99363,0.86395,0.97413,0.98728,0.98812,0.98188,0.58747,0.2179,0.00707,0.31654,0.90126,0.000854,0.000854,0.000854
34,823.845,0.63844,0.29041,0.17661,0.41384,0.95429,0.98568,0.99382,0.99191,0.87077,0.98374,0.99187,0.99071,0.99039,0.56491,0.08907,0.00751,0.29815,0.8911,0.000841625,0.000841625,0.000841625
35,844.677,0.62337,0.28885,0.17162,0.39782,0.9496,0.98101,0.99361,0.99328,0.87361,0.97998,0.99257,0.9932,0.99318,0.5644,0.07032,0.00794,0.29719,0.88778,0.00082925,0.00082925,0.00082925
36,865.285,0.61899,0.27423,0.16271,0.39982,0.94385,0.9792,0.99614,0.99343,0.87043,0.97915,0.99492,0.99343,0.99338,0.55274,0.06768,0.00434,0.29949,0.88059,0.000816875,0.000816875,0.000816875
37,885.727,0.61566,0.27724,0.15476,0.40685,0.94566,0.97982,0.9971,0.99035,0.87167,0.97879,0.99606,0.9902,0.99008,0.5515,0.06821,0.00387,0.31064,0.88422,0.0008045,0.0008045,0.0008045
38,906.168,0.62039,0.28918,0.1572,0.40232,0.95495,0.99102,0.9931,0.99362,0.86972,0.98998,0.99207,0.99302,0.99242,0.57852,0.07489,0.00614,0.29917,0.90058,0.000792125,0.000792125,0.000792125
39,926.424,0.62184,0.26811,0.14207,0.39225,0.94835,0.99316,0.99456,0.9943,0.87044,0.99212,0.99353,0.99429,0.99423,0.58745,0.06167,0.00764,0.29157,0.89292,0.00077975,0.00077975,0.00077975
40,946.65,0.6133,0.27146,0.14069,0.38995,0.94497,0.98651,0.98398,0.99388,0.8749,0.98555,0.98284,0.99382,0.99362,0.56615,0.06045,0.0062,0.29946,0.89215,0.000767375,0.000767375,0.000767375
41,966.731,0.61083,0.2739,0.13859,0.38953,0.94617,0.96241,0.97934,0.99111,0.85446,0.95,0.96086,0.97672,0.96114,0.64252,0.4637,0.01418,0.36353,0.9364,0.000755,0.000755,0.000755
42,992.434,0.60959,0.21698,0.1285,0.38609,0.94585,0.99004,0.99491,0.9941,0.88013,0.98901,0.99387,0.99409,0.99393,0.54964,0.06394,0.00522,0.29064,0.89238,0.000742625,0.000742625,0.000742625
43,1020.72,0.59463,0.24398,0.12249,0.37963,0.94379,0.98631,0.99391,0.99357,0.88085,0.98636,0.99251,0.99357,0.99314,0.5485,0.06007,0.0082,0.28154,0.88916,0.00073025,0.00073025,0.00073025
44,1044.64,0.59294,0.2176,0.1205,0.37303,0.9403,0.9855,0.99659,0.99389,0.87589,0.98453,0.9955,0.99388,0.99388,0.55057,0.07332,0.00463,0.29212,0.89565,0.000717875,0.000717875,0.000717875
45,1065.42,0.60032,0.23451,0.11414,0.37152,0.93919,0.98826,0.99061,0.99317,0.87644,0.98826,0.99061,0.99317,0.99284,0.5483,0.05581,0.0037,0.28802,0.88783,0.0007055,0.0007055,0.0007055
46,1085.53,0.58072,0.22735,0.1118,0.3662,0.93378,0.98996,0.99626,0.99394,0.8837,0.98939,0.99491,0.99393,0.99359,0.55157,0.05648,0.00357,0.27217,0.89275,0.000693125,0.000693125,0.000693125
47,1105.67,0.5849,0.20928,0.11316,0.36712,0.93816,0.99015,0.99491,0.99346,0.88201,0.99015,0.99491,0.99346,0.9934,0.53882,0.05493,0.0044,0.28273,0.88568,0.00068075,0.00068075,0.00068075
48,1125.34,0.59393,0.22759,0.10848,0.37259,0.93981,0.99174,0.99777,0.99299,0.8808,0.99116,0.99673,0.99299,0.99299,0.54176,0.05347,0.00403,0.27695,0.88475,0.000668375,0.000668375,0.000668375
49,1145.02,0.59585,0.23911,0.11297,0.37156,0.9384,0.99325,0.99494,0.99408,0.8911,0.99325,0.99494,0.99408,0.99408,0.52709,0.05504,0.00318,0.26917,0.87811,0.000656,0.000656,0.000656
50,1164.85,0.58528,0.21122,0.10396,0.35885,0.93315,0.99152,0.99712,0.99351,0.88316,0.99049,0.99608,0.99296,0.99296,0.53561,0.05167,0.00503,0.2702,0.88348,0.000643625,0.000643625,0.000643625
51,1184.47,0.57408,0.19323,0.09926,0.35299,0.93256,0.98676,0.99507,0.99312,0.88439,0.98574,0.99403,0.99249,0.99249,0.53755,0.04572,0.00345,0.28598,0.88508,0.00063125,0.00063125,0.00063125
52,1204.5,0.57827,0.19877,0.09922,0.35949,0.93558,0.98996,0.99656,0.99408,0.88473,0.98893,0.99553,0.99344,0.99344,0.53176,0.04228,0.00479,0.26971,0.88392,0.000618875,0.000618875,0.000618875
53,1224.74,0.58402,0.198,0.09923,0.35359,0.93667,0.99546,0.99027,0.99436,0.88676,0.99339,0.9882,0.99344,0.99319,0.53609,0.05162,0.0039,0.26872,0.88332,0.0006065,0.0006065,0.0006065
54,1244.82,0.58433,0.18401,0.09267,0.3562,0.93425,0.98505,0.99246,0.99345,0.88185,0.98399,0.99142,0.99314,0.99311,0.54345,0.05402,0.00594,0.27816,0.88456,0.000594125,0.000594125,0.000594125
55,1265.07,0.57374,0.18977,0.09409,0.35146,0.92764,0.9842,0.99671,0.99282,0.88571,0.98318,0.99568,0.992,0.992,0.52789,0.04459,0.00367,0.27339,0.88055,0.00058175,0.00058175,0.00058175
56,1285.2,0.56499,0.17267,0.0857,0.34456,0.92496,0.98721,0.99476,0.99346,0.88846,0.98617,0.99406,0.99275,0.99275,0.52695,0.04253,0.00356,0.27455,0.87531,0.000569375,0.000569375,0.000569375
