epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,625.37,0.64035,0.38432,0.22631,0.42752,0.96121,0.96687,0.99794,0.99042,0.87022,0.95914,0.98997,0.98293,0.97685,0.55006,0.15314,0.01174,0.31733,0.89927,0.00092825,0.00092825,0.00092825
28,649.027,0.61731,0.34327,0.2298,0.42061,0.95539,0.97792,0.99362,0.99255,0.86866,0.97328,0.98894,0.98753,0.98521,0.56647,0.11307,0.01695,0.32973,0.90257,0.000915875,0.000915875,0.000915875
29,672.396,0.60365,0.31727,0.21821,0.40719,0.94514,0.98367,0.99825,0.99378,0.87852,0.97903,0.99357,0.98903,0.98778,0.54454,0.11373,0.00704,0.31005,0.89743,0.0009035,0.0009035,0.0009035
30,696.974,0.61315,0.33228,0.22015,0.40065,0.95561,0.98551,0.99509,0.99337,0.88091,0.9808,0.99045,0.98885,0.98719,0.53176,0.10178,0.00614,0.30179,0.89246,0.000891125,0.000891125,0.000891125
31,720.269,0.61316,0.3378,0.21741,0.39363,0.95634,0.98123,0.99797,0.99351,0.86711,0.97354,0.99015,0.98744,0.98368,0.55394,0.14588,0.00918,0.3019,0.90521,0.00087875,0.00087875,0.00087875
32,743.569,0.60259,0.3654,0.21219,0.40223,0.94912,0.98479,0.99555,0.9926,0.86829,0.98012,0.99087,0.98695,0.98572,0.56461,0.12336,0.01082,0.3052,0.90328,0.000866375,0.000866375,0.000866375
33,766.758,0.61135,0.32909,0.20586,0.39689,0.95205,0.98695,0.99139,0.99415,0.87475,0.97779,0.98223,0.9867,0.97746,0.54521,0.17968,0.01305,0.30119,0.8993,0.000854,0.000854,0.000854
34,790.092,0.59838,0.31433,0.19331,0.39212,0.95061,0.98644,0.99648,0.99426,0.87602,0.97272,0.98286,0.97817,0.97239,0.53834,0.16888,0.00946,0.295,0.90121,0.000841625,0.000841625,0.000841625
35,813.286,0.59705,0.28759,0.1809,0.38689,0.94903,0.98536,0.99617,0.99393,0.8845,0.98068,0.99149,0.98972,0.98912,0.51749,0.09384,0.00857,0.28605,0.89116,0.00082925,0.00082925,0.00082925
36,836.648,0.60728,0.29963,0.18263,0.38866,0.95155,0.99157,0.9879,0.99423,0.88618,0.98705,0.9832,0.98926,0.98778,0.5143,0.09816,0.00834,0.28585,0.88533,0.000816875,0.000816875,0.000816875
37,860.169,0.58773,0.29307,0.17773,0.3794,0.94687,0.97384,0.99289,0.99375,0.87335,0.96918,0.98821,0.98964,0.98821,0.55961,0.1112,0.00796,0.30614,0.90516,0.0008045,0.0008045,0.0008045
38,884.039,0.58486,0.26794,0.16648,0.37868,0.9436,0.98293,0.99037,0.9924,0.87383,0.97819,0.98568,0.98959,0.98877,0.53424,0.09661,0.00613,0.29928,0.89727,0.000792125,0.000792125,0.000792125
39,907.273,0.58855,0.27858,0.16719,0.37444,0.94153,0.98046,0.99465,0.99389,0.88219,0.97585,0.98997,0.9897,0.9863,0.52002,0.10262,0.00778,0.28802,0.88744,0.00077975,0.00077975,0.00077975
40,929.145,0.59047,0.27757,0.15755,0.37388,0.94434,0.9818,0.99708,0.9928,0.87805,0.97483,0.99002,0.98709,0.98592,0.53258,0.11215,0.00528,0.29174,0.89841,0.000767375,0.000767375,0.000767375
41,948.486,0.57542,0.28417,0.1575,0.37087,0.9423,0.97848,0.99692,0.99193,0.87935,0.97376,0.99224,0.98666,0.98405,0.52107,0.09431,0.00717,0.28453,0.88811,0.000755,0.000755,0.000755
42,967.81,0.58412,0.28299,0.15182,0.36102,0.9414,0.98561,0.99701,0.99408,0.88126,0.98096,0.99233,0.99135,0.99044,0.52908,0.10298,0.00545,0.27597,0.8836,0.000742625,0.000742625,0.000742625
43,987.14,0.56054,0.26176,0.13757,0.35278,0.93281,0.98974,0.99288,0.99465,0.8854,0.98611,0.98923,0.99047,0.98942,0.51376,0.08671,0.00707,0.27479,0.88844,0.00073025,0.00073025,0.00073025
44,1006.51,0.57817,0.27022,0.13812,0.3625,0.94199,0.98574,0.9913,0.99205,0.8874,0.9809,0.98646,0.98872,0.98825,0.51389,0.11155,0.00514,0.27912,0.89137,0.000717875,0.000717875,0.000717875
45,1025.97,0.56561,0.25806,0.12877,0.35656,0.93344,0.98326,0.99469,0.99321,0.88452,0.97965,0.99104,0.99116,0.99063,0.5263,0.07978,0.00695,0.2796,0.89239,0.0007055,0.0007055,0.0007055
46,1045.25,0.58534,0.28328,0.12413,0.37155,0.95206,0.9832,0.99367,0.99071,0.88783,0.97959,0.99002,0.98753,0.98673,0.50999,0.07985,0.00561,0.26571,0.88782,0.000693125,0.000693125,0.000693125
